Location,Type,Address,City,Province,Postal_code,Lat,Long,Phone
Fire Station-1,3,"6745 Baldwin St N,",Whitby,On,L1M 1Y1,43.96831,-78.958154,905-668-3312
Fire Station-2,3,1600 Manning Rd,Whitby,On,L1N 3L8,43.895741,-78.916182,905-668-3312
Fire Station-3,3,1501 Brock St S,Whitby,On,L1N 4M5,43.861832,-78.933805,905-668-3312
Fire Station-4,3,734 Dundas St W,Whitby,On,L1N 2N5,43.87741,-78.955586,905-668-3312
Fire Station-5(HQ),3,111 McKinney Dr,Whitby,On,L1R 3M2,43.91749,-78.951898,905-668-3312
No Frills,2,3100 Garden St #2,Whitby,On,L1R 2G8,43.902297,-78.942223,866-987-6453
No Frills,2,3555 Thickson Rd N,Whitby,On,L1R 2H1,43.913716,-78.923546,866-987-6453
No Frills,2,920 Dundas St W,Whitby,On,L1P 1P7,43.876006,-78.964215,866-987-6453
FreshCo,2,1801 Dundas St E,Whitby,On,L1N 7C5,43.887007,-78.904066,905-720-3016
FreshCo,2,350 Brock St S,Whitby,On,L1N 4K4,43.876653,-78.941557,905-666-1691
FreshCo,2,5959 Baldwin St S,Whitby,On,L1M 1T6,43.951392,-78.960134,905-655-7405
Metro,2,4111 Thickson Rd,Whitby,On,L1R 2X3,43.923934,-78.926823,905-655-1660
Metro,2,619 Victoria St W,Whitby,On,L1N 0E4,43.858401,-78.946155,905-666-1610
Metro,2,70 Thickson Rd S,Whitby,On,L1N 7T2,43.883977,-78.913713,905-666-9692
Superstore,2,200 Tauton Rd W,Whitby,On,L1R 3H8,43.915177,-78.961751,905-666-3038
Sobies,2,1615 Dundas St E,Whitby,On,L1N 2L1,43.884889,-78.91038,905-435-0780
Foodland,2,728 Anderson St,Whitby,On,L1N 3V6,43.894088,-78.927863,905-668-6374
Food Bank,1,710 McQuay Blvd,Whitby,On,L1N 5V3,43.884255,-78.968361,905-430-3454
